Sample Name	Protocol REF	Fluorochrome Label	Term Source REF	Term Accession Number	Parameter Value[Fluorochrome label injection timing]	Parameter Value[Sample Preparation]	Parameter Value[Embedding Mixture]	Parameter Value[Section Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Stain]	Comment[Analysis Software]	Assay Name	Raw Data File	Parameter Value[Submitted Results Files]	Protocol REF	Parameter Value[Transformed Reusable Files]
FLT1_RAT1A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
FLT2_RAT1B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
FLT3_RAT2A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
FLT4_RAT2B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
FLT5_RAT3A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
FLT6_RAT3B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
FLT8_RAT4B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
FLT9_RAT5A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
FLT10_RAT5B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
FLT11_RAT6A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
