Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[diet]	Comment[Feeding Schedule]	Protocol REF	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Ovariectomy]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Timing]	Parameter Value[Preservation Method]	Term Source REF	Term Accession Number
F1_101	FLT1_RAT1A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F2_102	FLT2_RAT1B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F3_103	FLT3_RAT2A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F4_104	FLT4_RAT2B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F5_105	FLT5_RAT3A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F6_106	FLT6_RAT3B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F8_108	FLT8_RAT4B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F9_109	FLT9_RAT5A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F10_110	FLT10_RAT5B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F11_111	FLT11_RAT6A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
F12_112	FLT12_RAT6B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC2_114	GC2_RAT13B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC3_116	GC3_RAT14A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC4_118	GC4_RAT14B_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC5_119	GC5_RAT15A_LV2	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	OSD	https://osdr.nasa.gov/	Second Lumbar Vertebrae	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Animal Enclosure Module	OSD	https://osdr.nasa.gov/	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	OSD	https://osdr.nasa.gov/	sample collection	Decapitation	MESH	http://purl.bioontology.org/ontology/MESH/D049248	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
