Sample Name	Protocol REF	Parameter Value[Scanner]	Parameter Value[Volume Of Interest Location]	Parameter Value[Volume Of Interest Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Volume of Interest Location 2]	Parameter Value[Volume of Interest Size 2]	Unit	Term Source REF	Term Accession Number	Parameter Value[VOI Location 3]	Parameter Value[VOI Size 3]	Unit	Term Source REF	Term Accession Number	Parameter Value[Kilovolt Peak]	Unit	Term Source REF	Term Accession Number	Parameter Value[X-ray Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Integration Time Exposure]	Unit	Term Source REF	Term Accession Number	Parameter Value[Voxel Size]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Segmentation Selection Method]	Parameter Value[Filter Support Value]	Parameter Value[Filter Sigma/SD]	Parameter Value[Threshold Approach]	Parameter Value[Threshold Value]	Assay Name	Raw Data File	Parameter Value[Submitted Results Files]	Protocol REF	Parameter Value[Transformed Reusable Files]
B1_RAT1_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
B2_RAT2_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
B3_RAT3_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
B4_RAT4_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
B5_RAT5_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
B6_RAT6_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
GC1_RAT13A_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
GC2_RAT13B_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
GC3_RAT14A_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
GC4_RAT14B_Femur	Image Scan Acquisition	Scanco mCT40	Cortical: Mid-Diaphysis	984 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Distal Metaphysis	888 length	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Cancellous: Entire Distal Epiphysis	768	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	55	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	145	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	200	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	12	micron pixel	UO	http://purl.obolibrary.org/obo/UO_0000241	Image Processing And Reconstruction	Automatic	1	0.8	gray scale, 0-1000	245	microct	Not Available	LSDS-9_microCT_LV2_Parietal_NASA_5_25_18.xlsx, LSDS-9_microCT_Humerus_NASA_5_25_18.xlsx, LSDS-9_microCT_Femur_NASA_5_25_18.xlsx	ALSDA Processed Data	LSDS-9_microCT_turnerTRANSFORMED.csv
