Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Tissue]	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[habitat]	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Ovariectomy]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Timing]	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number
B1	B1_RAT1_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Not Applicable	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	Day of Launch	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
B2	B2_RAT2_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Not Applicable	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	Day of Launch	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
B3	B3_RAT3_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Not Applicable	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	Day of Launch	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
B4	B4_RAT4_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Not Applicable	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	Day of Launch	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
B5	B5_RAT5_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Not Applicable	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	Day of Launch	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
B6	B6_RAT6_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Not Applicable	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	Day of Launch	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC1	GC1_RAT13A_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC2	GC2_RAT13B_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC3	GC3_RAT14A_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
GC4	GC4_RAT14B_Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Fischer 344	EFO	http://www.ebi.ac.uk/efo/EFO_0000176	Taconic Biosciences (Farms)	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	femur	MESH	http://purl.bioontology.org/ontology/MESH/D005269	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Teklad L356 food bars	ad libitum	femur	MA	http://purl.obolibrary.org/obo/MA_0001359	Animal Husbandry	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	animal enclosure module	28	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Ovariectomized 14 days prior to launch	GLDS	https://genelab-data.ndc.nasa.gov/	sample collection	decapitation	OBI	http://purl.obolibrary.org/obo/OBI_0302899	4-6 hours after landing	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218
