Sample Name	Protocol REF	Parameter Value[Cortical Or Cancellous Or Other]	Parameter Value[ROI Location And Size Anatomical Markers Used To Identify Location]	Parameter Value[Type Of Test Axial Or Bending Or Shear Or Torsion]	Parameter Value[Test Attributes Tension Or Compression Or 3Pt Or 4Pt]	Parameter Value[Is This Test Monotonic Or Fatigue]	Parameter Value[Loading Rate Rate Of Applied Load Or Displacement]	Unit	Term Source REF	Term Accession Number	Parameter Value[Data Acquisition Rate]	Parameter Value[Testing System Manufacturer And Model Number]	Parameter Value[Lower Span Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
479659_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
479669_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
485917_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
485918_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
492516_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
492518_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
492522_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495117_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495120_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495124_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
501572_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
501579_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
479662_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
479666_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
485919_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
485920_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
492515_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
492519_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
492521_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495116_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495121_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
501575_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
501576_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
501578_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
479664_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
479668_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
479674_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
485922_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
485923_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
485924_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
492520_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495118_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495122_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
495125_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
501573_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
501577_Left Femur	Mechanical Testing	Cortical	Posterior	Bending	3Pt	Fatigue	3	millimeters per minute	OSD	https://osdr.nasa.gov/	100 Hz	Instron 8511 MTS	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Three-point bending	Not Available	LSDS-40_Bone_Biomechanical_LSDS-40_biomechanical_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_Bone_Biomechanical_LDSD-40_biomechanical_KoTRANSFORMED.csv
