Sample Name	Protocol REF	Parameter Value[Scanner]	Parameter Value[Volume Of Interest]	Parameter Value[Volume Of Interest Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Voxel Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Kilovolt Peak]	Unit	Term Source REF	Term Accession Number	Parameter Value[XRay Intensity Current]	Unit	Term Source REF	Term Accession Number	Parameter Value[Integration Time Exposure]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Image Filtration Algorithm]	Parameter Value[Threshold Approach]	Parameter Value[Threshold Value]	Assay Name	Raw Data File	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
479659_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
479669_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
485917_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
485918_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
492516_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
492518_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
492522_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495117_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495120_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
495124_Left Femur	Scanning	μCT40 (Scanco Medical AG)	distal metaphysis and mid-diaphysis	2.1 (Distal metaphyseal), 1.05 (Mid-diaphysis)	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	15	cubic micrometer	OSD	https://osdr.nasa.gov/	70	kilovoltage peak	OSD	https://osdr.nasa.gov/	114	milliamp	OSD	https://osdr.nasa.gov/	300	millisecond	UO	http://purl.obolibrary.org/obo/UO_0000028	Image Processing	Gaussian	mg HA/cm3	360 (trabecular), 700 (cortical)	Microcomputed Tomography	Not Available	LSDS-40_microCT_LSDS-40_microCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_microCT_LSDS-40_microCT_KoTRANSFORMED.csv
