Sample Name	Protocol REF	Fluorochrome Label	Term Source REF	Term Accession Number	Parameter Value[Fluorochrome label injection timing]	Parameter Value[Sample Preparation]	Parameter Value[Section Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Stain]	Parameter Value[Instrument (Ex. Microscope)]	Assay Name	Raw Data File	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
491045_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
491052_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
491053_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
491057_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
492515_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
492516_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
492518_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
492519_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
492520_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
492521_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
