Sample Name	Protocol REF	Parameter Value[Scanner]	Parameter Value[Volume Of Interest Location]	Parameter Value[X-ray Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Voxel Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Kilovolt Peak]	Unit	Term Source REF	Term Accession Number	Parameter Value[Frame Averaging]	Protocol REF	Parameter Value[Threshold Approach]	Term Source REF	Term Accession Number	Parameter Value[Threshold Value]	Parameter Value[Raw Results Data File]	Parameter Value[Log File]	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
B1_m1_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
B2_m2_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
B3_m3_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
B4_m4_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
B5_m5_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
B6_m6_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
B7_m7_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
B8_m8_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
B9_m9_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
B10_m10_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV1_m11_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV2_m12_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV3_m13_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV4_m14_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV5_m15_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV6_m16_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV7_m17_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV8_m18_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV9_m19_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
VIV10_m20_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
FLT1_m21_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
FLT2_m22_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
FLT3_m23_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
FLT5_m25_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
FLT6_m26_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
FLT7_m27_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
FLT9_m29_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
FLT10_m30_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
GC1_m31_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
GC2_m32_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
GC3_m33_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
GC5_m35_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
GC6_m36_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
GC7_m37_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
GC8_m38_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
GC9_m39_L4	Image Scan Acquisition	SkyScan 1174 Bruker	Vertebral Body	800	milliampere	UO	http://purl.obolibrary.org/obo/UO_0000037	6.7	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	50	kilovolt	UO	http://purl.obolibrary.org/obo/UO_0000248	2	Image Processing And Reconstruction	upper/lower threshold grayscale	OSD	https://osdr.nasa.gov/	lower 40, upper 255	Not Available	LSDS-15_microCT_alwood_log.txt	LSDS-15_microCT_alwoodSUBMITTED.csv	ALSDA Processed Data	LSDS-15_microCT_alwoodTRANSFORMED.csv
