Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[diet]	Comment[Feeding Schedule]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[light cycle]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number
m1	B1_m1_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	Not Available		OSD	https://osdr.nasa.gov/	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m2	B2_m2_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	Not Available		OSD	https://osdr.nasa.gov/	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m3	B3_m3_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	19.83	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m4	B4_m4_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	17.85	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m5	B5_m5_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.62	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m6	B6_m6_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	22.81	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m7	B7_m7_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.18	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m8	B8_m8_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	19.71	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m9	B9_m9_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.57	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
m10	B10_m10_L4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	lumbar vertebra 4	UBERON	http://purl.obolibrary.org/obo/UBERON_0004620	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	Basal Control	OSD	https://osdr.nasa.gov/	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	Mini Cold Bag to -80C freezer	20.45	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	PBS with Ca2+ and Mg2+	GLDS	https://genelab-data.ndc.nasa.gov/	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	radiation dosimetry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
