Sample Name	Protocol REF	Parameter Value[Was Subject Anesthetized]	Parameter Value[Anesthesia Method]	Parameter Value[Was Calibration Performed]	Parameter Value[What Calibration Was Performed]	Parameter Value[Scanner]	Parameter Value[Volume Of Interest]	Parameter Value[Volume Of Interest Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Volume of Interest]	Parameter Value[Volume of Interest Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Voxel Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Raw Data File]	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
479659	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
485917	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
485918	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
495120	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
495124	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
501572	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
501579	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479662	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479666	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
485920	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
