Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[age]	Unit	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[diet]	Comment[Feeding Schedule]	Factor Value[Partial Weight Bearing]	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Parameter Value[Anesthesia Method]	Term Source REF	Term Accession Number	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number
479659	479659_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
485917	485917_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
485918	485918_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495120	495120_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495124	495124_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
501572	501572_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
501579	501579_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479662	479662_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	20% of normal loading (PWB20)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479666	479666_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	20% of normal loading (PWB20)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
485920	485920_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	20% of normal loading (PWB20)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
